,0,1,2
0,LEGO Man,photo1_cam1.jpg,photo1_cam2.jpg
1,Chopin,photo2_cam1.jpg,photo2_cam2.jpg
2,Raindeer,photo3_cam1.jpg,photo3_cam2.jpg
3,Puzzle,photo4_cam1.jpg,photo4_cam2.jpg
4,Flower Pot,photo5_cam1.jpg,photo5_cam2.jpg
